"Associate","Location_Name","Type","Ref_No","Location Ref","Id","Notes","Address","City","State","Postal_Code","Address Country","Region","Country","Alternate Factor Region","Group Level 1","Group Level 2","Group Level 3","Group_Associate","Report_Percent","Effective_From","Effective_To","Group_Type","Latitude","Longitude","ANZSIC Code","Opened On","Closed On"
"Downer","_CLOSED_LND Fleet QLD","Other","L9.S.13900022","9203","","",,,,,"","Queensland","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",1899/12/31,2020/06/30,"Classification",,,,,
"Downer","_CLOSED_LND Fleet SA","Other","L9.S.13900022","9199","","",,,,,"","South Australia","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",1899/12/31,2020/06/30,"Classification",,,,,
"Downer","_CLOSED_LND Fleet TAS","Other","L9.S.13900022","9204","","",,,,,"","Tasmania","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",1899/12/31,2020/06/30,"Classification",,,,,
"Downer","_CLOSED_LND Fleet VIC","Other","L9.S.13900022","9205","","",,,,,"","Victoria","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",1899/12/31,2020/06/30,"Classification",,,,,
"Downer","_CLOSED_LND Fleet WA","Other","L9.S.13900022","9200","","",,,,,"","Western Australia","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",1899/12/31,2020/06/30,"Classification",,,,,
"Downer","_CLOSED_Lollipops Edu Centre AKL 45004945","Other","L9.S.26020223","2000005185","","",,,,,"","Manurewa","New Zealand",,"Operational Control","Operational Control","Social Infra & Citizen Serv (SICS)","Downer","100.0000",,,"Classification",,,,,2023/11/10
"Downer","_CLOSED_Lollipops Educare ChCh 45004949","Other","L9.S.26020292","2000005195","","",,,,,"","Manurewa","New Zealand",,"Operational Control","Operational Control","Social Infra & Citizen Serv (SICS)","Downer","100.0000",,,"Classification",,,,,2023/11/10
"Downer","_CLOSED_Lollipops Educare Wellington 45004951","Other","L9.S.26020411","2000005200","2000005200","",,,,,"","Wellington","New Zealand",,"Operational Control","Operational Control","Social Infra & Citizen Serv (SICS)","Downer","100.0000",,,"Classification",,,,,2023/11/10
"Downer","_CLOSED_Loxton","Depot","L9.J.17020606","167","","Vacated in 2020.","Lot 306 Trennery Avenue","Loxton","SA","5333","Australia","South Australia","Australia",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-34.45","140.585","310",,2021/06/30
"Downer","_CLOSED_LSE - Melbourne Town Hall","Facility","L9.S.13000853","9066","","Contract ended June 30, 2022.","90-130 Swanston Street","Melbourne","VIC","3000","Australia","Victoria","Australia",,"Operational Control","Operational Control","Social Infra & Citizen Serv (SICS)","Downer","100.0000",,,"Classification","-37.814983","144.966839","451",,2022/06/30
